neighborhood,alone_hhld,bachelor_higher,bornstate,carfree,commutetime,disabled,disconnected,foreign,gross_rent_adj,hhu18,homeownership,housing_units,income_diversity_ratio,laborforcerate,medhhincome_adj,medhhincome_own_adj,medhhincome_rent_adj,nohsdiploma,park_share,pasian,pblack,phisp,pop65,population,population_density,pov65older,povrate,povunder18,prof_pct_ela,prof_pct_math,prop_rt,pwhite,rdindex,rent_pct_nycha,rentvacrate,serious_viol_rate,sevcrowd,subway_share,tot_rt,total_viol_rate,unemprate,viol_rt,volume_al
astoria,0.35911717,0.45515292,0.402935089,0.825572382,39.06142525,0.064606219,0.057682986,0.405161988,1530,0.187705225,0.171134849,83958,4.556451613,0.705857017,60410,69080,58470,0.142848504,0.541685848,0.167633788,0.063981208,0.265111519,0.134980348,171988,33.67691404,0.172353685,0.137989977,0.174346052,0.469178082,0.460636516,6.258339656,0.479021792,0.668059323,0.1050737,0.030799201,13.6800855,0.024917357,0.856223836,11.28698883,74.61702886,0.055604287,5.028649172,329
bay-ridge-dyker-heights,0.308003806,0.40417997,0.510311101,0.701905476,44.8427503,0.05763086,0.050389705,0.37879196,1440,0.275276051,0.429244761,52340,5.076923077,0.657843495,66570,88800,54050,0.187352921,0.629190611,0.240589542,0.016666106,0.159531666,0.150432645,118804,30.58805355,0.102024747,0.150406504,0.222020542,0.532830189,0.608277901,4.948148862,0.558398707,0.604579445,0,0.036878488,20.73651598,0.061370296,0.930327254,6.731410303,98.15518941,0.068094225,1.783261441,351
bayside-little-neck,0.25002976,0.41002275,0.541561241,0.416552067,46.44825808,0.052323444,0.025242718,0.400073266,1630,0.288931743,0.695117015,45963,4.411764706,0.605122699,79120,90090,57660,0.123815936,0.571226623,0.401027424,0.024245832,0.128692037,0.192842112,117381,12.59587939,0.086412503,0.076413866,0.09659733,0.727362205,0.830374753,5.969200642,0.410926811,0.653166661,0,0.034728795,7.407407407,0.011238498,0.355567855,6.999853991,46.27092846,0.027443279,1.030653348,649
bedford-stuyvesant,0.317624918,0.36143804,0.563395104,0.854159357,42.42086315,0.077484287,0.076411509,0.197258444,1290,0.273284173,0.248569344,58114,7.208053691,0.662984568,51440,85310,41800,0.169495851,0.905038989,0.054648974,0.490498324,0.169067102,0.095090969,148237,64.53504571,0.223040277,0.266738039,0.362319258,0.290190736,0.233287858,10.25590744,0.262168015,0.659109131,0.19034909,0.05334569,61.92306807,0.035844273,0.998168715,18.4462529,285.3985866,0.085269807,8.190345459,541
belmont-east-tremont,0.322454264,0.13381107,0.501848461,0.780558038,44.04312713,0.16083523,0.077759013,0.353204761,970,0.399039281,0.067948762,62272,5.137614679,0.568694836,25810,66070,23710,0.325056893,0.995573376,0.01052993,0.289710427,0.638617374,0.093813666,174740,39.97712194,0.333623856,0.363161683,0.469278152,0.206834532,0.217122683,8.550703752,0.04975392,0.505649386,0.037404552,0.032849187,136.6981717,0.055343734,0.7959583,17.85800067,624.651379,0.116321478,9.307296921,130
bensonhurst,0.215030565,0.30896825,0.400531078,0.693741184,46.00211576,0.065644661,0.035397091,0.552463759,1330,0.332958116,0.339024123,68644,5.206185567,0.621844498,51080,81000,41950,0.246662174,0.471898585,0.412250694,0.009470717,0.16623378,0.149657386,189426,51.12712551,0.222134558,0.151706546,0.184479068,0.573647563,0.600938967,3.956456993,0.395980488,0.645525454,0,0.029323973,21.6576618,0.045511575,0.972012868,5.99513136,110.2885389,0.060518854,2.038674367,491
borough-park,0.200740846,0.28918706,0.622452893,0.691763143,39.04507497,0.077080642,0.081425734,0.291206612,1440,0.444365294,0.336230232,45881,5.144385027,0.605828236,45800,83350,33280,0.220657451,0.48964869,0.14248595,0.023054546,0.109031405,0.118082645,151250,48.09220986,0.186221681,0.316975543,0.445214633,0.475486904,0.532594524,3.511302003,0.702333884,0.47400551,0,0.026926648,28.50518276,0.085209924,1,5.057946933,142.4168031,0.051411274,1.54664493,416
brownsville,0.426712699,0.16316708,0.567354867,0.761978835,45.70776489,0.10594051,0.124447252,0.309316238,970,0.277578149,0.189811879,48734,6.979166667,0.559206547,30210,80990,22080,0.260791906,0.860101868,0.012684893,0.717904758,0.218789327,0.123328895,109658,42.33899614,0.25754766,0.331917493,0.380292756,0.22533137,0.18540146,7.193412592,0.035255066,0.435340162,0.30973545,0.049129451,95.78765147,0.027548819,1,17.87944673,413.5235797,0.140154298,10.68603414,159
bushwick,0.27376386,0.29800055,0.450913816,0.844377629,39.79812193,0.07938112,0.079191238,0.317459406,1410,0.264205915,0.148399673,52009,6.821192053,0.67410819,48430,89790,40390,0.260960756,0.730160736,0.060191234,0.196136563,0.554075201,0.090950856,139306,55.06166008,0.381802177,0.286923623,0.435098963,0.267938238,0.287128713,8.141413783,0.174924267,0.620309636,0.041864563,0.04391281,101.0605115,0.046415336,1,14.08988405,389.3357849,0.073711214,5.948470267,302
central-harlem,0.443324115,0.37046663,0.519168984,0.898864549,38.38871478,0.101951731,0.096136405,0.252942775,990,0.242300359,0.117165089,65056,7.405555556,0.65049649,45640,92060,39390,0.168428825,0.871525922,0.048889446,0.52792239,0.267397046,0.105452062,143487,99.16171389,0.280480481,0.271841464,0.426041922,0.210031348,0.174578867,8.891922954,0.13258344,0.629828223,0.15708356,0.046548957,63.74305127,0.021259605,1,17.77520458,299.5429277,0.081233304,8.883281629,260
clinton-chelsea,0.591151007,0.78122498,0.335885973,0.906396041,26.17589114,0.062489988,0.037558685,0.309824809,2230,0.093174405,0.219238221,103852,7.434210526,0.756946266,101550,146530,92250,0.04280816,0.727452022,0.18282031,0.042753143,0.127418055,0.11623065,140247,45.63846404,0.182013902,0.126772347,0.045115485,0.671554252,0.658959538,18.52874231,0.611834834,0.574171678,0.037422866,0.049581673,20.40647583,0.02438232,1,23.26504916,81.90702982,0.033425389,4.736306843,511
coney-island,0.331079357,0.40205691,0.427550558,0.648483304,48.63497323,0.114339824,0.069673962,0.523470864,980,0.260589436,0.297057072,50618,6.231292517,0.544064071,39210,85180,27080,0.148429822,0.708735728,0.14520698,0.088021087,0.172062612,0.227973333,116847,34.33646782,0.321847593,0.219072545,0.286346397,0.433962264,0.438896189,4.804464988,0.551841297,0.637032862,0.21453346,0.033605392,36.1547827,0.042259829,0.82789092,8.755442183,216.1876026,0.095056529,3.950977196,212
crown-heights-prospect-heights,0.342415856,0.4167848,0.505215598,0.85376623,42.4589721,0.070176549,0.089943343,0.267316082,1360,0.246406571,0.182805107,60882,6.043956044,0.671890648,51890,116920,43540,0.150581828,0.737576132,0.041153515,0.561778497,0.121049352,0.11555183,134788,60.63337832,0.234164421,0.226957636,0.274252555,0.393939394,0.355289421,7.516845417,0.234828026,0.612914162,0.098284885,0.057037432,70.58297301,0.026778558,1,13.86048154,327.8365886,0.067791957,6.343636118,267
east-flatbush,0.29400004,0.27140775,0.425682161,0.710099632,45.93817426,0.06453111,0.097334245,0.517379679,1310,0.339304636,0.315112862,55389,4,0.6211368,51260,72770,41740,0.132757185,0.395743786,0.012909639,0.864548197,0.075065131,0.145187166,145860,47.37252355,0.148896532,0.149164143,0.204072549,0.362681745,0.244963739,5.867879319,0.026772247,0.246038229,0.0227057,0.036799904,98.0200256,0.039355159,0.687915053,12.41207843,444.1516726,0.071762298,6.544199109,349
east-harlem,0.36370991,0.3439601,0.573306325,0.887380981,34.2635613,0.132346308,0.084491069,0.23405,880,0.304651835,0.065953963,55045,7.363636364,0.521560819,34420,117600,31910,0.230280793,0.976132931,0.082656261,0.303219416,0.435138778,0.119877271,134279,58.02895419,0.317603531,0.322973937,0.470274717,0.345381526,0.322033898,7.534581905,0.158610058,0.686723021,0.35252094,0.03111407,62.63301915,0.03813734,0.989088324,16.12300952,312.5570082,0.072520621,8.588427612,154
east-new-york-starrett-city,0.292738414,0.14471158,0.527439992,0.69033774,48.24284121,0.130519117,0.109805978,0.365132582,1130,0.373646938,0.247550728,61865,5.583333333,0.54558446,37880,74990,30640,0.217266939,0.698682269,0.059601043,0.517276341,0.354222518,0.118368591,160769,27.22130037,0.28589771,0.290925724,0.409738251,0.292334096,0.244988864,8.545840259,0.048933563,0.601004817,0.1682685,0.064275486,93.47926385,0.049833395,0.77543319,17.15182399,384.6567899,0.080266371,8.605983728,504
elmhurst-corona,0.200602871,0.19373301,0.339477357,0.795692217,42.79603697,0.070526774,0.058312021,0.623127218,1390,0.392755664,0.28680849,47750,4.15,0.627679714,42220,54690,38770,0.26908507,0.627896058,0.341482074,0.054127381,0.522551305,0.127600643,141167,38.68648945,0.243003491,0.192911306,0.217316201,0.411994149,0.389838557,5.301336053,0.063527595,0.603364598,0,0.017931876,17.751128,0.099405167,0.912020674,8.308323387,89.37900736,0.044667222,3.006987335,301
financial-district,0.451267775,0.8014709,0.383599563,0.886307897,25.6330437,0.034581626,0.009830509,0.226531774,2530,0.182455853,0.280275117,87577,5.135714286,0.751978653,137210,210110,120130,0.04194736,0.960716364,0.139098113,0.018316505,0.056559324,0.116462605,152813,51.53895447,0.091016615,0.080094504,0.047528698,0.784883721,0.78425656,15.33339893,0.758345167,0.402029871,0,0.043694243,4.570738649,0.032173991,1,17.58011086,16.51502738,0.039233375,2.246711929,640
