LocationID,Borough,Zone,service_zone,neighborhood,,,,,
3,Bronx,Allerton/Pelham Gardens,Boro Zone,morris-park-bronxdale,,,,,
18,Bronx,Bedford Park,Boro Zone,kingsbridge-heights-bedford,,,,,
20,Bronx,Belmont,Boro Zone,belmont-east-tremont,,,,,
31,Bronx,Bronx Park,Boro Zone,morris-park-bronxdale,,,,,
32,Bronx,Bronxdale,Boro Zone,morris-park-bronxdale,,,,,
46,Bronx,City Island,Boro Zone,throgs-neck-co-op-city,,,,,
47,Bronx,Claremont/Bathgate,Boro Zone,belmont-east-tremont,,,,,
51,Bronx,Co-Op City,Boro Zone,throgs-neck-co-op-city,,,,,
58,Bronx,Country Club,Boro Zone,throgs-neck-co-op-city,,,,,
59,Bronx,Crotona Park,Boro Zone,morrisania-crotona,,,,,
60,Bronx,Crotona Park East,Boro Zone,morrisania-crotona,,,,,
69,Bronx,East Concourse/Concourse Village,Boro Zone,highbridge-concourse,,,,,
78,Bronx,East Tremont,Boro Zone,belmont-east-tremont,,,,,
81,Bronx,Eastchester,Boro Zone,throgs-neck-co-op-city,,,,greenpoint-williamsburg,
94,Bronx,Fordham South,Boro Zone,fordham-university-heights,,,,fort-greene-brooklyn-heights,
119,Bronx,Highbridge,Boro Zone,highbridge-concourse,,,,bedford-stuyvesant,
126,Bronx,Hunts Point,Boro Zone,hunts-point-longwood,,,,east-new-york-starrett-city,
136,Bronx,Kingsbridge Heights,Boro Zone,kingsbridge-heights-bedford,,,,park-slope-carroll-gardens,
147,Bronx,Longwood,Boro Zone,hunts-point-longwood,,,,sunset-park,
159,Bronx,Melrose South,Boro Zone,mott-haven-melrose,,,,crown-heights-prospect-heights,
167,Bronx,Morrisania/Melrose,Boro Zone,morrisania-crotona,,,,south-crown-heights-lefferts-gardens,
168,Bronx,Mott Haven/Port Morris,Boro Zone,mott-haven-melrose,,,,bay-ridge-dyker-heights,
169,Bronx,Mount Hope,Boro Zone,belmont-east-tremont,,,,bensonhurst,
174,Bronx,Norwood,Boro Zone,kingsbridge-heights-bedford,,,,borough-park,
182,Bronx,Parkchester,Boro Zone,parkchester-soundview,,,,coney-island,
183,Bronx,Pelham Bay,Boro Zone,williamsbridge-baychester,,,,flatbush-midwood,
184,Bronx,Pelham Bay Park,Boro Zone,williamsbridge-baychester,,,,sheepshead-bay,
185,Bronx,Pelham Parkway,Boro Zone,williamsbridge-baychester,,,,brownsville,
199,Bronx,Rikers Island,Boro Zone,throgs-neck-co-op-city,,,,east-flatbush,
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,riverdale-fieldston,,,,flatlands-canarsie,
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,throgs-neck-co-op-city,,,,mott-haven-melrose,
212,Bronx,Soundview/Bruckner,Boro Zone,parkchester-soundview,,,,hunts-point-longwood,
213,Bronx,Soundview/Castle Hill,Boro Zone,parkchester-soundview,,,,morrisania-crotona,
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,kingsbridge-heights-bedford,,,,highbridge-concourse,
235,Bronx,University Heights/Morris Heights,Boro Zone,fordham-university-heights,,,,fordham-university-heights,
240,Bronx,Van Cortlandt Park,Boro Zone,kingsbridge-heights-bedford,,,,belmont-east-tremont,
241,Bronx,Van Cortlandt Village,Boro Zone,kingsbridge-heights-bedford,,,,kingsbridge-heights-bedford,
242,Bronx,Van Nest/Morris Park,Boro Zone,morris-park-bronxdale,,,,riverdale-fieldston,
247,Bronx,West Concourse,Boro Zone,highbridge-concourse,,,,parkchester-soundview,
248,Bronx,West Farms/Bronx River,Boro Zone,belmont-east-tremont,,,,throgs-neck-co-op-city,
250,Bronx,Westchester Village/Unionport,Boro Zone,parkchester-soundview,,,,morris-park-bronxdale,
254,Bronx,Williamsbridge/Olinville,Boro Zone,williamsbridge-baychester,,,,williamsbridge-baychester,
259,Bronx,Woodlawn/Wakefield,Boro Zone,williamsbridge-baychester,,,,financial-district,
11,Brooklyn,Bath Beach,Boro Zone,,,,,greenwich-village-soho,
14,Brooklyn,Bay Ridge,Boro Zone,bay-ridge-dyker-heights,,,,lower-east-side-chinatown,
17,Brooklyn,Bedford,Boro Zone,bedford-stuyvesant,,,,clinton-chelsea,
21,Brooklyn,Bensonhurst East,Boro Zone,bensonhurst,,,,midtown,
22,Brooklyn,Bensonhurst West,Boro Zone,bensonhurst,,,,stuyvesant-town-turtle-bay,
25,Brooklyn,Boerum Hill,Boro Zone,,,,,upper-west-side,
26,Brooklyn,Borough Park,Boro Zone,borough-park,,,,upper-east-side,
29,Brooklyn,Brighton Beach,Boro Zone,,,,,morningside-heights-hamilton,
33,Brooklyn,Brooklyn Heights,Boro Zone,fort-greene-brooklyn-heights,,,,central-harlem,
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,,,,,east-harlem,
