date,time,tempTemperature,tempFeelsLike,tempDewpoint,tempHumidity,tempPressure,tempVisibility,windDir,tempWindSpeed,tempGustSpeed,tempPrecip,Events,Condition
2017-12-31,9:51 PM,10,-5.2,-5.1,51,30.32,10,NW,12.7,21.9,0,None,Clear
2017-12-31,10:51 PM,10,-4.5,-4,53,30.32,10,WNW,11.5,18.4,0,None,Clear
2017-12-31,11:51 PM,9,-4.2,-4,56,30.31,10,WNW,9.2,19.6,0,None,Clear
2017-12-31,7:51 PM,12,-2,-5.1,46,30.32,10,WNW,11.5,19.6,0,None,Clear
2017-12-31,8:51 PM,10.9,-1.8,-5.1,49,30.33,10,WNW,9.2,20.7,0,None,Clear
2017-12-31,5:51 PM,12.9,-0.9,-5.1,45,30.3,10,NW,11.5,17.3,0,None,Clear
2017-12-29,2:51 AM,10.9,-0.8,-2.9,54,30.38,10,NW,8.1,0,0,None,Clear
2017-12-31,7:51 AM,14,-0.8,-2.9,47,30.22,10,NW,13.8,21.9,0,None,Clear
2017-12-28,10:51 PM,12,-0.4,-4,49,30.42,10,WNW,9.2,16.1,0,None,Clear
2017-12-31,6:51 PM,12,-0.4,-5.1,46,30.32,10,WNW,9.2,18.4,0,None,Clear
2017-12-28,5:51 AM,14,0.5,-0.9,52,30.5,10,NW,11.5,20.7,0,None,Clear
2017-12-28,11:51 PM,12,0.5,-4,49,30.42,10,NW,8.1,0,0,None,Clear
2017-12-28,8:51 AM,12.9,0.7,-5.1,45,30.56,10,WNW,9.2,23,0,None,Clear
2017-12-28,7:51 AM,12.9,0.7,-2,51,30.55,10,NW,9.2,0,0,None,Clear
2017-12-28,8:51 PM,12.9,0.7,-6,43,30.47,10,NW,9.2,19.6,0,None,Clear
2017-12-31,9:51 AM,12.9,0.7,-4,47,30.29,10,WNW,9.2,20.7,0,None,Clear
2017-12-28,7:51 PM,15.1,1.1,-6,39,30.48,10,WNW,12.7,21.9,0,None,Clear
2017-12-28,4:51 AM,14,1.2,0,54,30.5,10,West,10.4,17.3,0,None,Clear
2017-12-29,12:51 AM,10.9,1.4,-2.9,54,30.4,10,West,5.8,0,0,None,Clear
2017-12-29,3:51 AM,12,1.5,-2,53,30.37,10,WNW,6.9,0,0,None,Mostly Cloudy
2017-12-31,8:51 AM,12.9,1.6,-2.9,49,30.25,10,WNW,8.1,19.6,0,None,Clear
2017-12-31,2:51 PM,15.1,1.8,-4,43,30.26,10,WNW,11.5,24.2,0,None,Overcast
2017-12-31,3:51 PM,14,2,-5.1,43,30.27,10,WNW,9.2,21.9,0,None,Partly Cloudy
2017-12-31,12:51 PM,14,2,-4,45,30.23,10,NW,9.2,20.7,0,None,Clear
2017-12-28,6:51 AM,12.9,2.6,-2.9,49,30.53,10,Variable,6.9,19.6,0,None,Clear
2017-12-29,7:51 AM,12.9,2.6,0,56,30.31,10,WNW,6.9,0,0,None,Partly Cloudy
2017-12-29,1:51 AM,12,2.7,-2.9,51,30.4,10,West,5.8,0,0,None,Clear
2017-12-29,6:51 AM,12,2.7,-0.9,56,30.33,10,WNW,5.8,0,0,None,Overcast
2017-12-28,9:51 AM,14,2.9,-7.1,39,30.56,10,NNW,8.1,19.6,0,None,Clear
2017-12-31,10:51 AM,14,2.9,-5.1,43,30.27,10,NW,8.1,19.6,0,None,Clear
2017-01-09,4:51 AM,15.1,3.3,1,54,30.67,10,West,9.2,0,0,None,Clear
2017-03-05,7:51 AM,15.1,3.3,-9,34,30.67,10,WNW,9.2,0,0,None,Clear
2017-03-05,3:51 AM,15.1,3.3,-7.1,37,30.61,10,NW,9.2,0,0,None,Clear
2017-12-31,1:51 PM,15.1,3.3,-2.9,45,30.25,10,NW,9.2,19.6,0,None,Scattered Clouds
2017-01-08,9:51 AM,18,3.6,3,52,30.29,8,WNW,15,24.2,0,None,Clear
